,minute,open,high,low,close
0,11/19/2021 01:02,57200,57200,57051.23,57088.47
1,11/19/2021 01:03,57095.83,57485.67,57095.82,57463.21
2,11/19/2021 01:04,57464.17,57500,57205.01,57254.66
